78, '正常', '点温枪', NULL, '集控室', '温度', NULL, '(-40~480)C°', NULL, 'SL505-W001', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
79, '正常', '耐震压力真空表', '无锡凯丰压力表有限公司', '应急消防泵', '压力', 'YN-100', '（-0.1~0.15）Mpa', 1.6, 16060974, '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
80, '正常', '耐震压力真空表', '无锡凯丰压力表有限公司', '应急消防泵', '压力', 'YN-100', '（0~1）Mpa', 1.6, '13.11.17872', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
81, '正常', '电表', NULL, '1#轴带发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D007', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
82, '正常', '电表', NULL, '1#轴带发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D008', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
83, '正常', '电表', NULL, '1#轴带发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D009', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
84, '正常', '电表', NULL, '1#轴带发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D010', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
85, '正常', '电表', NULL, '1#轴带发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D011', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
86, '正常', '电表', NULL, '1#柴油发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D012', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
87, '正常', '电表', NULL, '1#柴油发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D013', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
88, '正常', '电表', NULL, '1#柴油发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D014', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
89, '正常', '电表', NULL, '1#柴油发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D015', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
90, '正常', '电表', NULL, '1#柴油发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D016', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
91, '正常', '电表', NULL, '幷车控制屏', '电表', NULL, NULL, NULL, 'SL505-D017', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
92, '正常', '电表', NULL, '幷车控制屏', '电表', NULL, NULL, NULL, 'SL505-D018', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
